block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R2_b9,2,1465.1034000000002,1105.7768,854.0825000000001,795.0708999999999,702.9547,508.3805000000001,457.3,333.042,179.79666666666668,603.4033333333333,333.9577777777778,519.6055555555555,325.3233333333334,390.87999999999994,396.71444444444444,361.7766666666667,340.1433333333333,355.25111111111113,275.14,275.55,221.58333333333331,202.9811111111111
R2_b10,2,1605.8098,1224.4884,828.0649000000001,733.771,662.9084,589.7556999999999,551.7612,280.03799999999995,184.02111111111108,680.2766666666666,380.3955555555556,511.78222222222223,354.87111111111113,322.3033333333334,423.61111111111114,363.25,394.56666666666666,346.33444444444444,297.0766666666666,302.55333333333334,248.92333333333332,225.4566666666667
R2_b11,2,1635.0200999999997,1105.0077999999999,986.7774000000002,837.3498999999999,668.9509,631.7138,531.7239,347.97800000000007,188.50125,662.51875,332.73625000000004,476.48,348.20875,317.77250000000004,340.07875,385.14374999999995,389.90999999999997,301.36375,333.24125000000004,270.93,270.43625,207.97500000000002
R2_b12,2,1939.0866999999998,1591.3627000000001,1074.5463,941.7092,929.8206,827.2524,742.9445,353.62399999999997,249.2375,855.51875,462.08750000000003,634.2162500000001,403.74375,400.90500000000003,500.87125,460.59749999999997,481.20875,379.68375,397.74249999999995,359.96250000000003,288.7525,239.755
R2_b13,2,1674.2869999999998,1415.2333000000003,1051.8113,1006.0644,860.4543,809.6155000000001,710.8071,376.783,193.28,805.4866666666666,442.95000000000005,560.92,362.28333333333336,364.0155555555555,461.84333333333336,433.5744444444444,457.64444444444445,379.9944444444444,347.06111111111113,334.09222222222223,245.48555555555555,225.34222222222223
R2_b14,2,1176.2703999999999,890.6995999999999,668.9321,618.5866000000001,602.6027999999999,541.579,461.43379999999996,245.16600000000003,144.0942857142857,471.99285714285713,332.2042857142857,460.4328571428572,321.1628571428572,266.3171428571428,359.6257142857143,367.68,322.69571428571425,313.37857142857143,270.1985714285714,252.88571428571433,234.37714285714287,171.53285714285715
R2_b15,2,1647.8664,1328.3791,876.6754000000001,1177.9019,814.1182999999999,524.4473,532.6844,322.6011111111111,209.06875000000002,571.5224999999999,325.92249999999996,391.6825,336.41374999999994,322.99375,402.45375,356.09375,296.81375,332.67375000000004,256.825,212.64375,220.07500000000002,159.80875
R2_b16,2,1363.0298,1127.3877,848.9394,1138.9883999999997,589.9651,529.3003,487.4533,328.81222222222226,204.34714285714287,585.342857142857,366.69428571428574,467.3314285714286,349.6628571428572,334.9214285714285,383.9728571428572,366.59142857142854,351.9028571428571,335.10428571428565,280.49000000000007,211.15285714285713,214.96428571428575,193.98142857142855
R2_b17,2,1751.0834,1425.7102,1040.0196999999998,1003.9128999999999,844.8552999999999,704.443,630.9401,380.588,174.5742857142857,791.5914285714285,404.57142857142856,488.21714285714285,309.6142857142857,367.08,419.0957142857143,382.28000000000003,408.95,338.25857142857143,323.6771428571429,286.50142857142856,231.40857142857143,219.32142857142858
R2_b18,2,1208.9768,1113.6997999999999,620.5804,689.0937,809.9658999999999,440.7589,447.30160000000006,229.9,194.78714285714287,541.3857142857144,306.7442857142857,336.61285714285714,243.3014285714286,233.30999999999997,305.37285714285724,218.82285714285712,226.71285714285713,259.14142857142855,188.02428571428572,210.23714285714283,171.20857142857145,162.8385714285714
R2_b19,2,1750.1202,1336.1177,900.8665000000001,948.5193999999999,970.3858,662.0647000000001,615.6348,318.95500000000004,207.82222222222222,704.8766666666666,358.7888888888889,488.44444444444446,350.76,277.76777777777784,418.77777777777777,353.79333333333335,311.72888888888883,350.8766666666667,270.96222222222224,265.3855555555556,245.81777777777774,174.56666666666666
R4_b0,4,1458.2871000000002,1255.7692000000002,795.7661999999999,712.9806,703.3771,563.9634,497.8253000000001,302.492,181.7485,656.3990000000001,326.179,461.817,380.827,397.145,447.42800000000005,393.51399999999995,379.454,366.02900000000005,351.611,288.626,274.082,218.44399999999996
R4_b1,4,1792.4564000000003,1598.3568,963.3096000000002,853.9751,869.9469000000001,784.9361999999999,621.4938,386.72400000000005,246.07719999999995,868.7760000000001,442.33299999999997,542.3019999999999,479.7540000000001,484.16400000000004,458.032,450.945,456.396,463.5879999999999,398.67299999999994,338.70500000000004,295.798,241.664
R4_b2,4,2023.9132999999997,1509.2169,1167.3319,1031.0524,909.5940999999999,756.6459,553.6948,354.45099999999996,208.73930000000001,772.0960000000001,398.224,591.613,502.2580000000001,492.322,564.952,463.558,493.08899999999994,435.61400000000003,416.976,319.71700000000004,316.476,239.64799999999997
